Date,Race,Age,Gender,JailId,Population_Interpolated,Admissions_Interpolated,Releases_Interpolated,ScrapeMissing
2021-08-29 00:00:00+00:00,All,All,All,KY-Boone,441.5625,2.875,3.9642857142857135,1
2021-08-29 00:00:00+00:00,All,All,All,KY-Campbell,423.75,11.25,9.25,0
2021-08-29 00:00:00+00:00,All,All,All,KY-Clark,236.25,9.5,6.0,0
2021-08-29 00:00:00+00:00,All,All,All,KY-Daviess,605.5,15.75,13.75,0
2021-08-29 00:00:00+00:00,All,All,All,KY-Fulton,410.25,0.0,3.0,0
2021-08-29 00:00:00+00:00,All,All,All,KY-Jackson,89.0,2.25,2.25,0
2021-08-29 00:00:00+00:00,All,All,All,KY-Madison,595.0,19.0,16.0,0
2021-08-29 00:00:00+00:00,All,All,All,KY-McCracken,432.25,8.75,10.25,0
2021-08-29 00:00:00+00:00,All,All,All,KY-Montgomery,185.25,4.0,3.5,0
2021-08-29 00:00:00+00:00,All,All,All,KY-Shelby,254.25,11.75,8.25,0
2021-08-29 00:00:00+00:00,All,All,All,KY-Warren,622.25,10.25,10.0,0
2021-08-29 00:00:00+00:00,All,All,All,KY-Webster,217.0,3.5,2.75,0
2021-08-29 00:00:00+00:00,All,All,All,LA-Caldwell,594.25,2.75,4.5,0
2021-08-29 00:00:00+00:00,All,All,All,LA-Claiborne,458.25,10.25,1.0,0
2021-08-29 00:00:00+00:00,All,All,All,LA-East_Feliciana,237.5,1.0,1.25,0
2021-08-29 00:00:00+00:00,All,All,All,LA-Iberia,331.75,1.75,3.25,0
2021-08-29 00:00:00+00:00,All,All,All,LA-Lafourche,592.8125,4.0,2.6875,1
2021-08-29 00:00:00+00:00,All,All,All,LA-Morehouse,375.75,16.75,4.25,0
2021-08-29 00:00:00+00:00,All,All,All,LA-St_Charles,378.86956521739137,1.1956521739130435,1.8913043478260871,1
2021-08-29 00:00:00+00:00,All,All,All,LA-St_Mary,308.0,7.5,2.5,0
2021-08-29 00:00:00+00:00,All,All,All,LA-St_Tammany,880.5,6.5,4.25,0
2021-08-29 00:00:00+00:00,All,All,All,LA-Vermilion,144.75,0.75,0.5,0
2021-08-29 00:00:00+00:00,All,All,All,MD-Dorchester,127.75,1.75,1.25,0
2021-08-29 00:00:00+00:00,All,All,All,MD-Prince_Georges,1019.0,16.5,14.0,0
2021-08-29 00:00:00+00:00,All,All,All,ME-Penobscot,249.0,4.25,4.25,0
2021-08-29 00:00:00+00:00,All,All,All,MO-Barry,64.75,4.5,2.0,0
2021-08-29 00:00:00+00:00,All,All,All,MO-Cedar,121.5,4.5,1.5,0
